Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 1-19 years,thinness 5-9 years,Income composition of resources,Schooling
Algeria,2013,Developing,75.3,112,21,0.4252677354043441,6.301612504587525,95.0,3.258096538021482,25.82893957859053,24,95.0,7.12,95.0,0.1,5471.866766,17.46196681444118,5.9,5.8,0.737,14.4
Algeria,2012,Developing,75.1,113,21,0.5068176023684519,6.32243252627382,95.0,2.9444389791664403,25.800576247172387,24,95.0,6.14,95.0,0.1,5564.82566,17.441605897735318,5.9,5.8,0.732,14.4
Algeria,2011,Developing,74.9,116,21,0.4446858212614457,6.23441472669076,95.0,4.727387818712341,25.772212915754253,24,95.0,5.29,95.0,0.1,5432.2523,17.421539756511166,5.9,5.8,0.724,14.0
Algeria,2010,Developing,74.7,119,21,0.371563556432483,6.067771638586006,95.0,4.6443908991413725,25.743849584336115,24,95.0,5.12,95.0,0.1,4463.394675,17.402291891240836,5.9,5.8,0.714,13.6
Algeria,2009,Developing,74.4,123,20,0.4054651081081644,5.866648329351803,94.0,4.68213122712422,25.70130458720891,23,94.0,5.36,95.0,0.1,3868.83123,15.08149347093518,6.0,5.9,0.705,13.1
Algeria,2008,Developing,74.1,126,20,0.3784364357202451,3.786168886178328,91.0,5.384495062789089,25.6587595900817,23,92.0,4.2,93.0,0.1,495.254866,15.064470876972422,6.0,5.9,0.697,12.6
Algeria,2007,Developing,73.8,129,20,0.3646431135879093,5.772449723667242,62.5,0.0,25.6162145929545,23,95.0,3.82,95.0,0.1,3935.183343,10.445143015094558,6.0,5.9,0.69,12.3
Algeria,2006,Developing,73.4,132,20,0.3074846997479606,5.603004761160019,62.5,6.851184927493743,25.559487930118223,23,95.0,3.36,95.0,0.1,3464.6179,17.335317774131166,6.1,6.0,0.686,12.3
Algeria,2005,Developing,72.9,136,19,0.4054651081081644,1.266644108986823,83.0,7.741967899820685,25.48857960157288,22,90.0,3.24,92.5,0.1,3584.306074,17.320720687453086,6.1,6.0,0.68,12.0
Algeria,2004,Developing,72.3,14,19,0.371563556432483,5.399942560068284,81.0,8.098642843759418,25.40348960731847,23,90.0,3.54,92.5,0.1,2598.9823,15.004328200775426,6.2,6.1,0.673,11.7
Angola,2014,Developing,51.7,348,67,2.233235014859253,3.21749935797215,64.0,9.367344120785848,22.7,101,68.0,3.31,64.0,2.0,479.31224,14.805968431670165,8.5,8.3,0.527,11.4
Angola,2013,Developing,51.1,355,69,2.2082744135228043,3.609797631038728,77.0,9.050640993218508,22.1,105,67.0,4.26,77.0,2.3,484.616884,14.77095853943948,8.6,8.5,0.523,11.4
Angola,2012,Developing,56.0,358,72,2.2235418856535927,5.549552719535908,75.0,8.402679804627477,21.5,110,75.0,3.3,75.0,2.6,4598.249988,12.466958895194791,8.8,8.6,0.508,10.3
Angola,2011,Developing,51.0,361,75,2.203869120054888,5.484346176728367,72.0,7.27931883541462,21.0,115,73.0,3.38,71.0,2.5,4299.12889,17.00263008706968,8.9,8.8,0.495,9.4
Angola,2010,Developing,49.6,365,78,2.174751721484161,5.260894487961259,77.0,7.0825485693553,22.18425149135989,121,81.0,3.39,77.0,2.5,3529.53482,16.9669265641907,9.1,9.0,0.488,9.0
Angola,2009,Developing,49.1,369,81,2.080690761080268,5.365615821655336,61.0,7.940227765145702,19.8,127,63.0,4.37,56.125,2.5,3347.84485,16.931225579366174,9.3,9.2,0.48,8.5
Angola,2008,Developing,48.7,371,84,2.0881534822818573,5.525095089453854,69.0,5.583496308781699,19.3,133,65.0,3.84,69.0,2.6,3868.578883,14.592972691761938,9.5,9.4,0.468,8.1
Angola,2007,Developing,48.2,375,87,1.9947003132247447,5.224785699221859,73.0,6.922643891475888,18.8,138,75.0,3.38,73.0,2.6,2878.837144,14.9133518828495,9.6,9.6,0.454,7.7
Argentina,2014,Developing,76.2,118,8,2.189416394888408,6.743318919802188,94.0,0.6931471805599453,25.956574569972144,9,92.0,4.79,94.0,0.1,12245.25645,17.576280720776225,1.0,0.9,0.825,17.3
Argentina,2013,Developing,76.0,119,8,2.2278615467981093,6.910547708519172,94.0,0.0,25.92821123855401,10,99.0,4.99,94.0,0.1,12976.63642,17.565953628195594,1.0,0.9,0.823,17.3
Argentina,2012,Developing,75.9,12,9,2.2353763433005955,7.033998429400421,91.0,1.0986122886681098,25.91402957284494,10,99.0,5.2,91.0,0.1,12969.7712,15.273367153595794,1.0,0.9,0.822,17.2
Argentina,2011,Developing,75.7,12,9,2.209372711271867,7.316767064853229,91.0,1.3862943611198906,25.8856662414268,10,93.0,5.89,91.0,0.1,12726.9836,17.544977099009838,1.0,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121,10,2.21375387928743,5.239686454408513,94.0,2.8903717578961645,25.857302910008663,11,95.0,6.55,94.0,0.1,1276.265,17.534528500638103,1.0,0.9,0.802,16.8
Argentina,2009,Developing,75.6,126,10,2.233235014859253,7.243543440963352,94.0,1.3862943611198906,25.87148457571773,11,97.0,7.63,94.0,0.1,8161.36966,13.08143304368226,1.0,0.9,0.794,16.5
Argentina,2008,Developing,75.4,126,10,2.2417729535972883,7.254697817330266,61.5,0.0,25.8431212442996,11,94.0,6.66,93.0,0.1,8953.359275,15.293104795633656,1.0,0.9,0.792,16.3
Argentina,2007,Developing,74.8,129,10,2.214846178686039,7.009100873519826,85.0,0.0,25.758031250045185,12,92.0,6.49,91.0,0.1,7193.61764,15.201110928328278,1.1,0.9,0.788,16.3
Argentina,2006,Developing,75.2,127,11,2.169053700369523,6.869198911406456,84.0,0.0,25.814757912881458,12,92.0,6.68,91.0,0.1,5878.76127,15.19071616547364,1.1,0.9,0.782,16.1
Argentina,2005,Developing,74.9,127,11,2.143589361503588,4.576426354754442,88.0,0.0,25.772212915754253,12,95.0,6.85,98.0,0.1,576.883829,17.482795750262987,1.1,1.0,0.78,16.3
Argentina,2004,Developing,74.7,13,11,2.1552445050953364,6.579759943278847,81.0,0.0,25.743849584336115,12,91.0,6.84,98.0,0.1,4251.574348,17.472091407754323,1.1,1.0,0.775,16.3
Argentina,2003,Developing,74.1,137,11,2.154085084675602,4.070473118347059,73.0,0.0,25.6587595900817,13,95.0,8.22,96.0,0.1,333.4376,15.160821453194776,1.2,1.0,0.77,16.4
Argentina,2002,Developing,74.1,138,12,2.175887439948088,6.1552548613660285,66.0,0.0,25.6587595900817,13,94.0,8.29,93.0,0.1,2579.193168,15.147596326710357,1.2,1.0,0.776,16.3
Armenia,2014,Developing,74.6,12,1,1.5912739418064292,5.692413809919565,93.0,2.6390573296152584,25.729667918627044,1,95.0,4.48,93.0,0.1,3994.712355,10.29630636560997,2.1,2.1,0.739,12.7
Armenia,2013,Developing,74.4,123,1,1.5665304114228238,5.636320863049348,95.0,2.3978952727983707,25.70130458720891,1,96.0,4.55,95.0,0.1,3843.591213,12.57542686662598,2.1,2.1,0.736,12.7
Armenia,2012,Developing,74.4,121,1,1.5871923034867808,5.617326211198904,95.0,0.0,25.70130458720891,1,96.0,4.48,95.0,0.1,3684.8481,14.873968337627431,2.0,2.1,0.732,12.7
Armenia,2011,Developing,73.9,128,1,1.6272778305624314,5.568330696795552,95.0,0.0,25.630396258663566,1,96.0,3.71,95.0,0.1,3526.978143,14.87176564650904,2.0,2.1,0.729,12.7
Armenia,2010,Developing,73.5,132,1,1.6544112780768316,5.417526945984604,94.0,1.0986122886681098,25.57366959582729,1,96.0,4.56,94.0,0.1,3218.381655,14.872367082952035,2.0,2.1,0.72,12.3
Armenia,2009,Developing,73.3,137,1,1.601405740736836,5.309185820846361,93.0,0.0,25.54530626440916,1,94.0,4.55,93.0,0.1,2993.832531,14.876277320808745,2.0,2.1,0.725,11.9
Armenia,2008,Developing,73.2,14,1,1.601405740736836,1.3581258012933668,89.0,0.0,25.53112459870009,1,91.0,3.8,89.0,0.1,2422.7453984384615,10.303035186880257,2.0,2.1,0.721,12.3
Armenia,2007,Developing,73.5,132,1,1.6074359097634274,3.8192978740252537,85.0,0.6931471805599453,25.57366959582729,1,87.25,4.31,88.0,0.1,3138.8873,12.58914557634986,2.0,2.1,0.707,11.7
Armenia,2006,Developing,72.9,141,1,1.6114359150967734,5.503440630190707,78.0,4.927253685157205,25.48857960157288,1,87.25,4.58,87.0,0.1,2158.299,10.29505655545218,2.0,2.1,0.692,11.2
Armenia,2005,Developing,73.0,137,1,1.6582280766035324,3.0548606367689115,91.0,7.732807530422021,25.502761267281947,1,92.0,5.25,84.0,0.1,1643.758397,14.907856587910857,2.0,2.1,0.679,10.9
Armenia,2004,Developing,73.0,132,1,1.57069708411767,4.592499019159473,91.0,7.486613313139955,25.502761267281947,1,93.0,5.5,91.0,0.1,1191.96192,8.19229373114764,2.0,2.1,0.668,10.9
Armenia,2003,Developing,72.7,134,1,1.3937663759585914,2.12124223487826,93.0,1.6094379124341005,25.460216270154746,1,96.0,5.56,94.0,0.1,2422.7453984384615,10.366812680153265,2.0,2.1,0.657,10.8
Armenia,2002,Developing,72.6,134,1,1.3506671834767394,4.063509064533305,91.0,3.713572066704308,25.44603460444567,1,96.0,5.4,94.0,0.1,783.261699,12.718590836096496,2.1,2.1,0.645,10.8
Armenia,2001,Developing,72.6,141,1,1.3506671834767394,3.9925652213112977,77.25,4.248495242049359,25.44603460444567,1,97.0,5.94,94.0,0.1,694.435119,10.481672714626391,2.1,2.1,0.644,11.1
Armenia,2000,Developing,72.0,142,1,1.3609765531356006,3.519166134294296,77.25,2.772588722239781,25.36094461019126,1,96.0,6.25,93.0,0.1,622.7427477,12.82014685640201,2.1,2.2,0.639,11.2
Australia,2014,Developed,82.7,6,1,2.3711778844596574,9.284553478960188,91.0,5.831882477283517,26.8783828410616,1,92.0,9.42,92.0,0.1,62214.6912,14.668518513256863,0.6,0.6,0.936,20.4
Australia,2013,Developed,82.5,61,1,2.386006701133118,9.370403863201268,91.0,5.068904202220232,26.850019509643467,1,91.0,9.36,91.0,0.1,67792.3386,16.956094148852184,0.6,0.6,0.933,20.3
Australia,2012,Developed,82.3,61,1,2.400618833265411,9.36871058674584,91.0,5.298317366548036,26.82165617822533,1,92.0,9.36,92.0,0.1,67677.63477,16.939119422094194,0.6,0.6,0.93,20.1
Australia,2011,Developed,82.0,63,1,2.424802725718295,9.30449217839777,92.0,5.25227342804663,26.779111181098123,1,92.0,9.2,92.0,0.1,62245.129,12.316831066249591,0.6,0.6,0.927,19.8
Australia,2010,Developed,81.9,64,1,2.444084655267745,9.091194889072415,92.0,4.262679877041316,26.764929515389056,1,92.0,9.2,92.0,0.1,51874.848,12.315715976826144,0.7,0.6,0.927,19.5
Australia,2009,Developed,81.7,66,1,2.4527277514237653,8.878117625528336,94.0,4.653960350157523,26.736566183970915,1,92.0,9.5,92.0,0.1,42742.99898,12.287274680923556,0.7,0.6,0.925,19.1
Australia,2008,Developed,81.3,66,1,2.464703942470481,9.05348681765576,94.0,4.189654742026425,26.67983952113464,1,92.0,8.78,92.0,0.1,49664.6854,12.266664325627566,0.7,0.6,0.921,19.1
Australia,2007,Developed,81.3,66,1,2.447550863244232,6.772621012956407,94.0,2.4849066497880004,26.67983952113464,2,92.0,8.53,92.0,0.1,4991.98289,10.249804032346637,0.7,0.6,0.918,19.0
Australia,2006,Developed,81.2,66,1,2.425687290128029,8.730377233782361,95.0,0.0,26.66565785542557,2,92.0,8.49,92.0,0.1,36118.28381,10.202851129761749,0.7,0.6,0.915,20.3
Australia,2005,Developed,81.0,67,1,2.424802725718295,6.363257669774328,95.0,2.3978952727983707,26.63729452400744,2,92.0,8.45,92.0,0.1,3416.71483,10.083681848313908,0.7,0.6,0.91,20.3
Australia,2004,Developed,86.0,69,1,2.3832429960115,6.379390694592229,95.0,4.262679877041316,27.34637780946087,1,92.0,8.57,92.0,0.1,3472.37977,9.965287953441576,0.7,0.6,0.908,20.7
Australia,2003,Developed,83.0,71,1,2.395164274287139,8.25076391726074,95.0,4.5217885770490405,26.92092783818881,1,92.0,8.32,93.0,0.1,23465.38559,12.200833947481971,0.7,0.7,0.905,20.6
Australia,2002,Developed,79.9,73,1,2.3832429960115,3.858351768079221,95.0,3.49650756146648,26.481296201207684,2,92.0,8.39,92.0,0.1,281.81763,12.18849404325588,0.7,0.7,0.902,20.1
Australia,2001,Developed,79.9,75,1,2.354228326145884,8.027901096072396,94.0,4.955827057601261,26.481296201207684,2,91.0,8.18,92.0,0.1,19517.84168,9.873749734272172,0.7,0.7,0.899,20.5
Austria,2014,Developed,81.4,66,0,2.589266665112243,9.030159744516626,94.25,4.770684624465665,26.694021186843717,0,94.25,11.21,94.25,0.1,51322.63997,15.960456092064256,1.8,2.0,0.892,15.9
Austria,2013,Developed,81.1,68,0,2.551006451492524,4.517267631217479,94.25,0.0,26.651476189716504,0,94.25,11.14,94.25,0.1,554.71532,15.953147420154924,1.8,2.0,0.887,15.7
Austria,2012,Developed,88.0,7,0,2.5847519847577165,8.972003529298954,92.0,3.610917912644224,27.63001112364224,0,92.0,11.17,92.0,0.1,48333.57273,15.947306380985893,1.8,2.0,0.884,15.7
Austria,2011,Developed,88.0,73,0,2.5680215564985067,9.020789557796853,89.0,4.23410650459726,27.63001112364224,0,89.0,1.94,89.0,0.1,51126.74139,15.942747006804789,1.7,2.0,0.88,15.7
Austria,2010,Developed,84.0,75,0,2.5726122302071057,8.912504089454613,86.0,3.970291913552122,27.062744495279496,0,86.0,11.17,86.0,0.1,46657.629,13.63679648636394,1.7,1.9,0.872,15.4
Austria,2009,Developed,82.0,77,0,2.509599262378372,8.993993376412169,83.0,3.912023005428146,26.779111181098123,0,83.0,11.19,83.0,0.1,47654.18721,15.93697225608161,1.7,1.9,0.87,15.3
Austria,2008,Developed,84.0,76,0,2.5649493574615367,9.027706565037224,83.0,6.107022887742255,27.062744495279496,0,83.0,1.6,83.0,0.1,51386.37665,15.934352724496929,1.7,1.9,0.864,15.1
Austria,2007,Developed,81.0,8,0,2.602689685444384,8.916622037898605,85.0,3.044522437723423,26.63729452400744,0,85.0,1.4,85.0,0.1,46586.6525,15.931222310497084,1.7,1.9,0.86,15.2
Austria,2006,Developed,79.8,81,0,2.5952547069568657,4.26167928619468,83.0,3.1780538303479458,26.467114535498613,0,83.0,1.35,83.0,0.1,443.99361,15.927980845535616,1.7,1.9,0.854,15.0
Austria,2005,Developed,79.4,85,0,2.5952547069568657,8.698445514950658,86.0,2.302585092994046,26.41038787266234,0,86.0,1.53,86.0,0.1,38242.4252,15.923032868384515,1.7,1.9,0.848,14.9
Austria,2004,Developed,79.3,86,0,2.5726122302071057,8.578829528288123,83.0,2.772588722239781,26.39620620695327,0,83.0,1.56,83.0,0.1,36693.4262,15.916220196732349,1.7,1.9,0.841,14.7
Austria,2003,Developed,78.8,88,0,2.580216829592325,6.225411280345961,83.0,4.51085950651685,26.325297878407927,0,84.0,1.48,84.0,0.1,3212.9355,15.910016066220562,1.7,1.9,0.837,14.7
Austria,2002,Developed,78.7,9,0,2.602689685444384,8.289051602695906,81.0,0.0,26.31111621269886,0,82.0,1.27,83.0,0.1,26351.37568,13.689899714807488,1.7,1.9,0.847,16.1
Austria,2001,Developed,78.6,92,0,2.5952547069568657,8.184192448422317,76.25,0.0,26.29693454698979,0,83.0,1.12,84.0,0.1,24489.73553,13.64388440092536,1.7,1.9,0.837,15.5
Austria,2000,Developed,78.1,96,0,2.653241964607215,8.177081883359206,76.25,0.0,26.22602621844445,0,76.25,1.6,81.0,0.1,24517.26745,13.606722225683283,1.7,1.9,0.833,15.4
Azerbaijan,2014,Developing,72.5,119,5,0.009950330853168,5.7274418098594735,94.0,0.0,25.431852938736604,6,97.0,6.4,94.0,0.1,7891.299776,13.76797860191892,2.8,2.9,0.752,12.2
Azerbaijan,2013,Developing,72.2,121,5,1.144222799920162,5.6227585674860645,93.0,5.10594547390058,25.389307941609403,6,96.0,5.54,93.0,0.1,7875.756953,13.75542291694784,2.8,2.8,0.745,11.9
Azerbaijan,2012,Developing,71.9,123,5,0.009950330853168,5.658123771540717,88.0,0.0,25.346762944482197,6,92.0,5.37,89.0,0.1,7496.335728,16.045071629579173,2.8,2.8,0.742,11.8
Azerbaijan,2011,Developing,71.6,125,5,1.091923300517313,5.576489483629631,84.0,0.0,25.304217947354985,6,91.0,5.1,87.0,0.1,7189.691229,13.729280330343473,2.8,2.9,0.741,11.7
Azerbaijan,2010,Developing,71.1,13,5,1.091923300517313,5.51168771855236,8.0,0.0,25.23330961880964,6,85.0,5.33,81.0,0.1,5842.85784,13.768767946128111,2.8,2.9,0.737,11.7
Azerbaijan,2009,Developing,78.0,132,6,1.1314021114911006,3.156420828112131,74.0,0.0,26.21184455273538,6,84.0,5.85,81.0,0.1,495.294791,16.006856109869055,2.8,2.9,0.728,11.6
Azerbaijan,2008,Developing,73.0,141,6,0.7793248768009976,5.333981828151132,68.0,1.791759469228055,25.502761267281947,6,85.0,4.37,81.0,0.1,5574.6382,11.380935740507276,2.8,2.9,0.719,11.6
Azerbaijan,2007,Developing,73.0,14,6,0.7030975114131134,5.176210242607467,62.0,0.0,25.502761267281947,7,81.0,5.1,79.0,0.1,3851.437869,11.35993744232842,2.8,2.9,0.708,11.6
Azerbaijan,2006,Developing,69.2,154,6,0.6151856390902334,4.669399844432491,52.0,5.407171771460119,24.963857970337344,7,61.0,6.17,78.0,0.1,2473.85776,13.651173506094985,2.9,2.9,0.682,10.7
Azerbaijan,2005,Developing,68.4,162,6,0.5481214085096876,4.410235385836536,49.0,7.122059881629142,24.850404644664792,7,79.0,7.86,75.0,0.1,1578.4239,13.640187653370257,2.9,3.0,0.675,11.2
Azerbaijan,2004,Developing,68.4,154,6,0.4824261492442927,2.261430226411365,5.0,6.71901315438526,24.850404644664792,8,78.0,7.92,77.0,0.1,145.2163,9.031931152002144,3.0,3.0,0.668,11.0
Azerbaijan,2003,Developing,67.8,154,7,0.4382549309311553,3.770802972645638,51.0,7.590346945602565,24.76531465041038,8,79.0,6.56,77.0,0.1,883.6439965,11.318636584560124,3.0,3.0,0.659,10.8
Azerbaijan,2002,Developing,67.8,146,7,0.4382549309311553,3.697158509708863,5.0,8.378850241794492,24.76531465041038,9,61.0,4.47,76.0,0.1,763.73858,13.61363424715102,3.1,3.1,0.651,10.6
Bangladesh,2014,Developing,71.4,132,98,0.009950330853168,2.437675561877319,97.0,5.66988092298052,17.7,121,97.0,2.82,97.0,0.1,184.56543,16.584673418635862,18.1,18.6,0.57,10.0
Bangladesh,2013,Developing,71.0,135,104,0.009950330853168,3.985828418544069,96.0,5.472270673671475,17.0,130,96.0,2.88,96.0,0.1,951.8894535,18.875388567781314,18.3,18.8,0.565,10.0
Bangladesh,2012,Developing,77.0,137,111,0.009950330853168,4.098650705796807,94.0,7.594381242551817,16.4,139,94.0,3.27625,94.0,0.1,856.342857,16.56103340678172,18.5,19.0,0.557,9.9
Bangladesh,2011,Developing,73.0,14,118,0.009950330853168,4.148673088928085,96.0,8.635153989049803,15.8,150,96.0,3.16,96.0,0.1,835.789341,18.851891029209607,18.7,19.2,0.545,9.4
Bangladesh,2010,Developing,69.9,142,126,0.009950330853168,4.153547850029587,94.0,6.670766320845874,15.2,161,94.0,3.27625,94.0,0.1,757.6717572,16.537786623255453,18.9,19.4,0.535,8.9
Bangladesh,2009,Developing,69.5,144,135,0.009950330853168,3.993861093303219,97.0,6.577861357721047,25.006402967464545,173,97.0,2.91,97.0,0.1,681.125368,14.25084445262634,19.1,19.7,0.523,8.4
Bangladesh,2008,Developing,69.1,147,144,0.009950330853168,3.772499992327115,96.0,7.886457270977689,24.949676304628277,186,96.0,2.85,96.0,0.1,615.7775411,16.51591930404027,19.3,19.9,0.52,8.6
Bangladesh,2007,Developing,68.6,151,154,0.009950330853168,3.8578913082682336,95.0,7.981049759665957,24.87876797608293,201,96.0,2.8,94.0,0.1,541.651484,18.80688958108455,19.5,2.1,0.513,8.6
Bangladesh,2006,Developing,68.2,152,164,0.009950330853168,3.7688557341965936,86.0,8.731174900938061,24.822041313246658,215,95.0,2.8,94.0,0.1,494.51466,14.189612269863554,19.7,2.3,0.506,8.4
Bangladesh,2005,Developing,67.8,155,174,0.009950330853168,3.664961179658894,45.375,10.1633486867855,24.76531465041038,231,94.0,2.68,93.0,0.1,484.155471,16.478780384933028,19.9,2.5,0.499,8.2
Bangladesh,2004,Developing,67.3,158,185,0.009950330853168,1.6321180955923675,45.375,9.18440698994968,24.69440632186504,247,91.0,2.62,99.0,0.1,621.4747509090909,16.464340692067623,2.1,2.7,0.491,8.1
