Country,Year,Life expectancy,Adult Mortality,Polio,Diphtheria,Hepatitis B,Total expenditure,percentage expenditure,Measles,Population,Alcohol
Albania,2003,72.8,18.0,97.0,97.0,97.0,6.27,14.71928882,2.1972245773362196,12.73557379105924,1.665818245870208
Albania,2002,73.3,15.0,98.0,98.0,96.0,6.3,104.5169157,2.833213344056216,8.163940954755008,1.5539252025038417
Albania,2001,73.6,14.0,97.0,97.0,96.0,6.0,96.20557078,2.9444389791664403,10.49609590771746,1.6582280766035324
Albania,2000,72.6,11.0,97.0,97.0,96.0,6.26,91.71154052,6.4967749901858625,10.569469065023304,1.5390154481375546
Algeria,2014,75.4,11.3,95.0,95.0,95.0,7.21,54.2373183,0.0,17.481973478503658,0.009950330853168083
Algeria,2013,75.3,112.0,95.0,95.0,95.0,7.12,544.4507432,3.258096538021482,17.46196681444118,0.4252677354043441
Algeria,2012,75.1,113.0,95.0,95.0,95.0,6.14,555.9260834,2.9444389791664403,17.441605897735318,0.5068176023684519
Algeria,2011,74.9,116.0,95.0,95.0,95.0,5.29,509.0020405,4.727387818712341,17.421539756511166,0.44468582126144574
Algeria,2010,74.7,119.0,95.0,95.0,95.0,5.12,430.7175861,4.6443908991413725,17.402291891240836,0.37156355643248307
Algeria,2009,74.4,123.0,94.0,95.0,94.0,5.36,352.0636419,4.68213122712422,15.08149347093518,0.4054651081081644
Algeria,2008,74.1,126.0,92.0,93.0,91.0,4.2,43.08717334,5.384495062789089,15.064470876972422,0.3784364357202451
Algeria,2007,73.8,129.0,95.0,95.0,62.5,3.82,320.3239241,0.0,10.445143015094558,0.3646431135879093
Algeria,2006,73.4,132.0,95.0,95.0,62.5,3.36,270.2401962,6.851184927493743,17.335317774131166,0.3074846997479606
Algeria,2005,72.9,135.6,90.0,92.5,83.0,3.24,2.548922758,7.741967899820685,17.320720687453086,0.4054651081081644
Algeria,2004,72.3,14.0,90.0,92.5,81.0,3.54,220.393699,8.098642843759418,15.004328200775426,0.37156355643248307
Angola,2014,51.7,348.49,68.0,64.0,64.0,3.31,23.965612,9.367344120785848,14.805968431670163,2.2332350148592526
Angola,2013,51.1,355.0,67.0,77.0,77.0,4.26,35.95857279,9.050640993218508,14.77095853943948,2.2082744135228043
Angola,2012,56.0,358.0,75.0,75.0,75.0,3.3,256.1225243,8.402679804627477,12.466958895194791,2.2235418856535927
Angola,2011,51.0,361.0,73.0,71.0,72.0,3.38,239.8913921,7.27931883541462,17.00263008706968,2.203869120054888
Angola,2010,49.6,365.0,81.0,77.0,77.0,3.39,191.6537407,7.0825485693553,16.9669265641907,2.174751721484161
Angola,2009,49.1,369.0,63.0,56.125,61.0,4.37,212.9229325,7.940227765145702,16.931225579366174,2.080690761080268
Angola,2008,48.7,371.0,65.0,69.0,69.0,3.84,249.9101958,5.583496308781699,14.592972691761938,2.0881534822818573
Angola,2007,48.2,374.72,75.0,73.0,73.0,3.38,184.8213446,6.922643891475888,14.9133518828495,1.9947003132247452
Argentina,2014,76.2,118.0,92.0,94.0,94.0,4.79,847.3717463,0.6931471805599453,17.576280720776225,2.189416394888408
Argentina,2013,76.0,119.0,99.0,94.0,94.0,4.99,1001.796332,0.0,17.565953628195594,2.2278615467981093
Argentina,2012,75.9,12.0,99.0,91.0,91.0,5.2,1133.558003,1.0986122886681098,15.273367153595794,2.2353763433005955
Argentina,2011,75.7,12.0,93.0,91.0,91.0,5.89,1504.329462,1.3862943611198906,17.544977099009838,2.209372711271867
Argentina,2010,75.5,121.0,95.0,94.0,94.0,6.55,187.610955,2.8903717578961645,17.534528500638103,2.21375387928743
Argentina,2009,75.6,126.0,97.0,94.0,94.0,7.63,1398.042623,1.3862943611198906,13.08143304368226,2.2332350148592526
Argentina,2008,75.4,126.0,94.0,93.0,61.5,6.66,1413.73543,0.0,15.293104795633656,2.2417729535972883
Argentina,2007,74.8,129.0,92.0,91.0,85.0,6.49,1105.659031,0.0,15.201110928328278,2.214846178686039
Argentina,2006,75.2,127.0,92.0,91.0,84.0,6.68,961.1774676,0.0,15.19071616547364,2.169053700369523
Argentina,2005,74.9,127.0,95.0,98.0,88.0,6.85,96.16653429,0.0,17.482795750262987,2.143589361503588
Argentina,2004,74.7,13.0,91.0,98.0,81.0,6.84,719.3663797,0.0,17.472091407754323,2.1552445050953364
Argentina,2003,74.1,137.0,95.0,96.0,73.0,8.22,57.58467352,0.0,15.160821453194776,2.154085084675602
Argentina,2002,74.1,137.88,94.0,93.0,66.0,8.29,470.1869145,0.0,15.147596326710355,2.175887439948088
Armenia,2014,74.6,12.28,95.0,93.0,93.0,4.48,295.6087143,2.6390573296152584,10.29630636560997,1.5912739418064292
Armenia,2013,74.4,123.0,96.0,95.0,95.0,4.55,279.4290812,2.3978952727983707,12.57542686662598,1.5665304114228238
Armenia,2012,74.4,121.0,96.0,95.0,95.0,4.48,274.1526986,0.0,14.873968337627431,1.5871923034867808
Armenia,2011,73.9,128.0,96.0,95.0,95.0,3.71,260.9963826,0.0,14.87176564650904,1.6272778305624314
Armenia,2010,73.5,132.0,96.0,94.0,94.0,4.56,224.3212014,1.0986122886681098,14.872367082952037,1.6544112780768316
Armenia,2009,73.3,137.0,94.0,93.0,93.0,4.55,201.1855461,0.0,14.876277320808745,1.601405740736836
Armenia,2008,73.2,14.0,91.0,89.0,89.0,3.8,2.8888979,0.0,10.303035186880255,1.601405740736836
Armenia,2007,73.5,132.0,87.25,88.0,85.0,4.31,44.57219966,0.6931471805599453,12.589145576349859,1.6074359097634274
Armenia,2006,72.9,141.0,87.25,87.0,78.0,4.58,244.5352767,4.927253685157205,10.295056555452181,1.6114359150967734
Armenia,2005,73.0,137.0,92.0,84.0,91.0,5.25,20.21822828,7.732807530422021,14.907856587910857,1.6582280766035324
Armenia,2004,73.0,132.0,93.0,91.0,91.0,5.5,97.74087744,7.486613313139955,8.19229373114764,1.57069708411767
Armenia,2003,72.7,134.0,96.0,94.0,93.0,5.56,7.341493148,1.6094379124341003,10.366812680153265,1.3937663759585914
Armenia,2002,72.6,134.0,96.0,94.0,91.0,5.4,57.17810403,3.713572066704308,12.718590836096496,1.3506671834767394
Armenia,2001,72.6,141.0,97.0,94.0,77.25,5.94,53.19373012,4.248495242049359,10.481672714626391,1.3506671834767394
Armenia,2000,72.0,141.86,96.0,93.0,77.25,6.25,32.75626853,2.772588722239781,12.82014685640201,1.3609765531356006
Australia,2014,82.7,13.15,92.0,92.0,91.0,9.42,10769.36305,5.831882477283517,14.668518513256863,2.3711778844596574
Australia,2013,82.5,61.0,91.0,91.0,91.0,9.36,11734.85381,5.0689042022202315,16.956094148852184,2.386006701133118
Australia,2012,82.3,61.0,92.0,92.0,91.0,9.36,11714.99858,5.298317366548036,16.939119422094194,2.400618833265411
Australia,2011,82.0,63.0,92.0,92.0,92.0,9.2,10986.26527,5.25227342804663,12.316831066249593,2.424802725718295
Australia,2010,81.9,64.0,92.0,92.0,92.0,9.2,8875.786493,4.2626798770413155,12.315715976826143,2.444084655267745
Australia,2009,81.7,66.0,92.0,92.0,94.0,9.5,7172.275229,4.653960350157523,12.287274680923556,2.4527277514237653
Australia,2008,81.3,66.0,92.0,92.0,94.0,8.78,8547.292357,4.189654742026425,12.266664325627566,2.464703942470481
Australia,2007,81.3,66.0,92.0,92.0,94.0,8.53,872.5986092,2.4849066497880004,10.249804032346637,2.4475508632442313
Australia,2006,81.2,66.0,92.0,92.0,95.0,8.49,6187.062017,0.0,10.202851129761747,2.425687290128029
Australia,2005,81.0,67.0,92.0,92.0,95.0,8.45,579.1331637,2.3978952727983707,10.083681848313908,2.424802725718295
Australia,2004,86.0,69.0,92.0,92.0,95.0,8.57,588.568371,4.2626798770413155,9.965287953441575,2.3832429960115
Australia,2003,83.0,71.0,92.0,93.0,95.0,8.32,3829.550928,4.5217885770490405,12.200833947481971,2.395164274287139
Australia,2002,79.9,73.0,92.0,92.0,95.0,8.39,46.3871819,3.4965075614664802,12.188494043255881,2.3832429960115
Australia,2001,79.9,74.74,91.0,92.0,94.0,8.18,3064.301144,4.955827057601261,9.873749734272172,2.354228326145884
Austria,2014,81.4,66.0,94.25,94.25,94.25,11.21,8350.193523,4.770684624465665,15.960456092064256,2.589266665112243
Austria,2013,81.1,68.0,94.25,94.25,94.25,11.14,90.58501176,0.0,15.953147420154924,2.551006451492524
Austria,2012,88.0,7.14,92.0,92.0,92.0,11.17,7878.372355,3.6109179126442243,15.947306380985891,2.5847519847577165
Austria,2011,88.0,73.0,89.0,89.0,89.0,1.94,8272.306757,4.23410650459726,15.942747006804789,2.5680215564985067
Austria,2010,84.0,75.0,86.0,86.0,86.0,11.17,7423.228774,3.970291913552122,13.636796486363941,2.5726122302071057
Austria,2009,82.0,77.0,83.0,83.0,83.0,11.19,8053.557638,3.912023005428146,15.93697225608161,2.509599262378372
Austria,2008,84.0,76.0,83.0,83.0,83.0,1.6,8329.731655,6.1070228877422545,15.934352724496927,2.5649493574615367
Austria,2007,81.0,8.0,85.0,85.0,85.0,1.4,7453.8644,3.044522437723423,15.931222310497084,2.6026896854443837
Austria,2006,79.8,81.0,83.0,83.0,83.0,1.35,69.92899358,3.1780538303479458,15.927980845535615,2.5952547069568657
Austria,2005,79.4,85.0,86.0,86.0,86.0,1.53,5992.588029,2.302585092994046,15.923032868384515,2.5952547069568657
Austria,2004,79.3,86.0,83.0,83.0,83.0,1.56,5316.877456,2.772588722239781,15.916220196732349,2.5726122302071057
Austria,2003,78.8,88.0,84.0,84.0,83.0,1.48,504.4308735,4.51085950651685,15.910016066220562,2.580216829592325
Austria,2002,78.7,9.0,82.0,83.0,81.0,1.27,3979.057728,0.0,13.689899714807487,2.6026896854443837
Austria,2001,78.6,92.0,83.0,84.0,76.25,1.12,3582.848308,0.0,13.643884400925359,2.5952547069568657
Austria,2000,78.1,95.44,76.25,81.0,76.25,1.6,3557.455507,0.0,13.606722225683285,2.653241964607215
Azerbaijan,2014,72.5,119.0,97.0,94.0,94.0,6.4,306.1824313,0.0,13.76797860191892,0.009950330853168083
Azerbaijan,2013,72.2,121.0,96.0,93.0,93.0,5.54,275.6514934,5.10594547390058,13.75542291694784,1.144222799920162
Azerbaijan,2012,71.9,123.0,92.0,89.0,88.0,5.37,285.6103912,0.0,16.045071629579173,0.009950330853168083
Azerbaijan,2011,71.6,125.0,91.0,87.0,84.0,5.1,263.142699,0.0,13.729280330343473,1.091923300517313
Azerbaijan,2010,71.1,13.12,85.0,81.0,8.0,5.33,246.5686008,0.0,13.768767946128113,1.091923300517313
Azerbaijan,2009,78.0,132.0,84.0,81.0,74.0,5.85,22.48638351,0.0,16.006856109869055,1.1314021114911006
Azerbaijan,2008,73.0,141.0,85.0,81.0,68.0,4.37,206.2616134,1.791759469228055,11.380935740507276,0.7793248768009976
Azerbaijan,2007,73.0,14.0,81.0,79.0,62.0,5.1,176.0107106,0.0,11.359937442328421,0.7030975114131134
Azerbaijan,2006,69.2,154.0,61.0,78.0,52.0,6.17,105.6337264,5.407171771460119,13.651173506094985,0.6151856390902334
Azerbaijan,2005,68.4,161.04,79.0,75.0,49.0,7.86,81.28883085,7.122059881629142,13.640187653370255,0.5481214085096876
Azerbaijan,2004,68.4,154.0,78.0,77.0,5.0,7.92,8.59680496,6.71901315438526,9.031931152002144,0.4824261492442927
Azerbaijan,2003,67.8,154.0,79.0,77.0,51.0,6.56,42.41491183,7.590346945602565,11.318636584560123,0.4382549309311553
Azerbaijan,2002,67.8,146.0,61.0,76.0,5.0,4.47,39.33253687,8.378850241794492,13.61363424715102,0.4382549309311553
Bangladesh,2014,71.4,132.0,97.0,97.0,97.0,2.82,11.386179628750007,5.66988092298052,16.584673418635862,0.009950330853168083
Bangladesh,2013,71.0,135.0,96.0,96.0,96.0,2.88,52.82986467,5.472270673671475,18.875388567781314,0.009950330853168083
Bangladesh,2012,77.0,137.0,94.0,94.0,94.0,3.27625,59.2589257,7.594381242551817,16.56103340678172,0.009950330853168083
Bangladesh,2011,73.0,26.98,96.0,96.0,96.0,3.16,62.34988484,8.635153989049803,18.851891029209607,0.009950330853168083
Bangladesh,2010,69.9,142.0,94.0,94.0,94.0,3.27625,62.65945432,6.670766320845874,16.537786623255453,0.009950330853168083
Bangladesh,2009,69.5,144.0,97.0,97.0,97.0,2.91,53.26400378,6.577861357721047,14.25084445262634,0.009950330853168083
Bangladesh,2008,69.1,147.0,96.0,96.0,96.0,2.85,42.48865034,7.886457270977689,16.51591930404027,0.009950330853168083
Bangladesh,2007,68.6,151.0,96.0,94.0,95.0,2.8,46.36536703,7.981049759665957,18.80688958108455,0.009950330853168083
Bangladesh,2006,68.2,152.0,95.0,94.0,86.0,2.8,42.3304549,8.731174900938061,14.189612269863554,0.009950330853168083
Bangladesh,2005,67.8,155.0,94.0,93.0,45.375,2.68,38.05462002,10.1633486867855,16.478780384933028,0.009950330853168083
Bangladesh,2004,67.3,158.0,91.0,99.0,45.375,2.62,11.386179628750007,9.184406989949679,16.464340692067623,0.009950330853168083
Bangladesh,2003,66.8,160.67000000000002,91.0,90.625,45.375,2.51,35.48458957,8.31090675716845,11.843609553966552,0.009950330853168083
Belarus,2014,72.0,199.0,97.0,97.0,97.0,5.69,1147.1114,4.174387269895637,16.064115803648605,2.7040421797046714
Belarus,2013,71.7,46.94,98.0,98.0,98.0,6.7,1109.854619,2.833213344056216,16.063216778165824,2.751109690562657
Belarus,2012,71.9,194.0,98.0,98.0,97.0,5.1,91.70962117,2.3978952727983707,16.063058092396382,2.8535925063928684
Belarus,2011,72.0,232.0,98.0,98.0,98.0,4.92,846.9113071,3.9318256327243257,16.06397446712098,2.907447358686419
Belarus,2010,73.0,222.0,99.0,98.0,96.0,5.55,8.49409518,0.6931471805599453,13.763779272935983,2.73696154459663
Belarus,2009,70.0,226.0,98.0,96.0,98.0,6.9,434.7985025,0.0,13.77131412643006,2.7140322727797574
Belarus,2008,70.0,224.0,98.0,97.0,98.0,5.95,501.8056141,0.0,16.06974392066271,2.7517480563679295
Belarus,2007,69.8,226.0,95.25,95.0,91.0,6.44,464.077513,0.6931471805599453,13.77151060240419,2.7226103524335397
Belarus,2006,68.9,243.0,97.0,99.0,98.0,6.34,364.426052,5.0106352940962555,13.779805657093497,2.6100697927420065
Belarus,2005,68.1,252.0,98.0,99.0,99.0,6.89,45.65007798,0.6931471805599453,16.083909507065975,2.485739636091892
Belarus,2004,68.2,247.0,99.0,99.0,99.0,6.59,42.33443901,1.0986122886681098,13.788290428893529,2.5687881337687024
Belarus,2003,67.7,253.0,95.25,94.0,89.25,6.59,23.83578594,3.091042453358316,16.09756125598547,2.498973906999436
Belarus,2002,67.2,260.88,99.0,99.0,99.0,6.47,145.4233629,2.70805020110221,16.104559347182825,2.5824869781268642
Belarus,2001,67.7,254.0,99.0,99.0,93.0,6.62,14.06141699,3.828641396489095,16.110925003203995,2.4630018143999504
Belarus,2000,68.0,247.0,99.0,99.0,89.25,6.13,24.24947846,3.091042453358316,13.81347047841638,2.637627736805664
Belgium,2014,89.0,76.0,99.0,99.0,98.0,1.59,7163.348923,4.2626798770413155,11.63477134718789,2.6100697927420065
Belgium,2013,87.0,77.0,99.0,99.0,98.0,1.57,702.359357,3.6888794541139363,16.229889051175217,2.547098670044448
Belgium,2012,83.0,78.0,99.0,99.0,98.0,1.54,664.4738975,4.700480365792417,16.224997208600765,2.405141681319138
Belgium,2011,83.0,8.0,98.0,98.0,97.0,1.42,713.5297354,6.3578422665081,13.9533097057526,2.4078456036515385
Belgium,2010,80.0,81.0,98.0,98.0,97.0,1.17,665.7356115,3.713572066704308,14.455039111065137,2.4176979000945504
Belgium,2009,79.8,85.0,98.0,98.0,97.0,1.39,671.9376566,3.5263605246161616,14.401347545702691,2.402430427963762
Belgium,2008,79.5,87.0,99.0,99.0,98.0,9.6,7191.051507,4.59511985013459,12.1005676749948,2.4397349311412793
Belgium,2007,79.5,86.0,99.0,98.0,94.0,9.25,640.3560918,4.174387269895637,9.696340374306518,2.4203681286504293
Belgium,2006,79.4,85.0,99.0,98.0,94.0,9.17,5579.199083,2.772588722239781,14.252447846992942,2.4832385926873033
Belgium,2005,78.9,89.0,97.0,97.0,77.0,9.24,5068.214488,3.295836866004329,14.206618425708841,2.5855058483441162
Belgium,2004,78.8,91.0,96.0,95.0,64.0,9.32,5160.508378,4.127134385045092,14.166968517071862,2.5687881337687024
Belgium,2003,78.3,95.0,96.0,95.0,64.0,9.3,507.306164,3.8066624897703196,14.13478867645487,2.5079719227189963
Belgium,2002,78.0,98.44,96.0,95.0,13.75,8.46,320.3177664,0.0,14.102782046137865,2.5087859235779435
Belgium,2001,78.0,1.98,96.0,95.0,13.75,8.29,2943.375396,4.430816798843313,11.764912999997286,2.485739636091892
Belgium,2000,77.6,11.0,96.0,95.0,13.75,8.12,287.2084529,0.0,11.737076508593578,2.502255288122613
Belize,2014,70.0,177.0,95.0,95.0,95.0,5.79,670.0920883,0.0,12.770519601699089,2.0255131996542803
Belize,2013,69.8,18.42,95.0,95.0,95.0,5.79,629.2018591,0.0,12.748925866214913,2.0228711901914416
Belize,2012,69.4,189.0,98.0,98.0,98.0,5.45,582.8027185,0.0,10.424421910450407,2.0360119837525
Belize,2011,69.4,188.0,95.0,95.0,95.0,5.61,605.6286892,0.0,12.704399483889475,2.033397603178429
Belize,2010,69.5,186.0,96.0,96.0,96.0,5.85,569.9527122,0.0,10.378758534888256,2.048982334195127
Belize,2009,69.5,184.0,98.0,97.0,97.0,5.81,549.8096097,0.0,12.656925310101514,2.060513531794317
Belize,2008,69.6,181.0,94.0,94.0,94.0,5.9,51.25232422,0.0,10.495874729944925,2.1065702090680882
Belize,2007,69.6,181.0,97.0,96.0,96.0,4.76,69.63051047,0.0,10.303873114900993,2.1090003439213802
Belize,2006,69.4,184.0,98.0,98.0,98.0,4.4,387.3324928,0.0,10.30051718182319,2.012232791986386
Belize,2005,69.0,191.0,96.0,96.0,96.0,4.45,365.799896,0.0,12.554184026608363,1.9810014688665833
Belize,2004,68.7,197.0,97.0,97.0,97.0,4.39,325.6807462,0.0,10.228826616165007,1.9740810260220096
Belize,2003,68.4,21.0,95.0,96.0,96.0,4.53,312.7995946,0.0,10.200401876301486,1.8976198599275322
Belize,2002,68.5,198.72,93.0,92.75,97.0,4.38,262.8299189,0.0,10.174544693464336,1.7900914121273581
Belize,2001,68.2,21.0,96.0,96.0,96.0,4.5,251.6586929,0.0,12.44895999888098,1.7749523509116738
Belize,2000,68.3,196.0,92.0,92.75,92.0,3.98,219.0239836,0.0,12.418422150163096,1.7561322915849038
Benin,2014,59.7,252.0,74.0,78.0,78.0,4.59,90.12206791,6.668228248417403,14.067601462487241,0.009950330853168083
Benin,2013,59.5,251.0,73.0,77.0,77.0,4.59,87.4080423,6.45833828334479,9.57858809226753,0.009950330853168083
Benin,2012,59.3,251.0,67.0,67.0,67.0,4.86,9.80407467,5.666426688112432,13.788054054343595,0.009950330853168083
Benin,2011,59.1,251.0,77.0,75.0,75.0,5.050000000000001,110.2633619,6.056784013228625,11.458289748804013,0.8754687373538999
Benin,2010,58.7,254.0,77.0,76.0,76.0,4.95,94.25737917,5.973809611869261,16.03463360400161,0.8458682675776092
Benin,2009,58.4,259.0,67.0,79.0,79.0,4.46,71.01399249,7.2875606403097235,13.70399446891168,0.7701082216960736
Benin,2008,57.6,278.0,77.0,75.0,75.0,4.25,7.615430126,6.834108738813838,15.978479153005608,0.8241754429663494
Benin,2007,57.1,283.0,82.0,82.0,82.0,4.55,7.49281752,5.834810737062605,15.9502439391843,0.7514160886839212
Benin,2006,56.8,284.0,76.0,74.0,74.0,4.75,75.91429496,5.176149732573829,15.921703201846322,0.7839015438284094
Benin,2005,56.5,285.0,73.0,67.0,67.0,4.73,7.106997355,5.351858133476067,15.89272787789583,0.7561219797213337
Benin,2004,56.1,285.0,74.0,72.0,75.0,4.56,10.73628066,5.572154032177765,8.956093075610639,0.7654678421395714
Benin,2003,55.8,285.0,75.0,73.0,73.0,4.63,8.931827297,5.384495062789089,13.531230691440893,0.8544153281560676
Benin,2002,55.6,283.0,76.0,75.0,67.0,4.27,40.48815233,7.370860166536716,15.80275388514895,0.8020015854720274
Bhutan,2014,69.4,216.0,98.0,99.0,99.0,3.57,209.3921344,0.0,13.562486240083569,0.009950330853168083
Bhutan,2013,69.1,219.0,97.0,97.0,97.0,3.83,19.79057439,0.0,13.547581438372305,0.009950330853168083
Bhutan,2012,68.7,223.0,97.0,97.0,97.0,3.7,188.7373664,0.6931471805599453,13.531778009199074,0.009950330853168083
Bhutan,2011,68.3,225.0,95.0,95.0,95.0,4.73,289.8524057,2.3978952727983707,8.916237731721479,0.20701416938432615
Bhutan,2010,67.9,228.0,92.0,91.0,91.0,5.17,244.0391949,3.091042453358316,13.497564447984326,0.2468600779315258
Bhutan,2009,67.4,232.0,93.0,93.0,93.0,6.3,27.48907048,1.9459101490553132,13.479280891920439,0.15700374880966478
Bhutan,2008,67.0,234.0,96.0,96.0,96.0,6.58,302.667579,2.0794415416798357,6.679599185844383,0.19062035960864973
Bhutan,2007,66.5,238.0,93.0,95.0,95.0,5.88,283.806236,2.4849066497880004,13.440029889656476,0.1484200051182733
Bhutan,2006,65.8,245.0,96.0,95.0,95.0,5.27,169.2023968,1.0986122886681098,13.418354335264603,0.2546422183735807
Bhutan,2005,65.0,254.0,95.0,95.0,95.0,5.28,145.5965445,2.4849066497880004,13.394891202084432,0.5481214085096876
Bhutan,2004,64.2,263.0,86.5,89.0,89.0,4.41,2.586698228,1.3862943611198906,11.071050489577583,0.6729444732424258
Bhutan,2003,63.3,273.0,96.0,95.0,95.0,4.9,19.15664091,0.0,13.342999788467317,0.41871033485818504
Bhutan,2002,62.5,282.0,89.0,86.0,85.25,7.75,151.9755193,3.332204510175204,11.103452335464524,0.2546422183735807
Bhutan,2001,61.7,55.18000000000001,88.0,88.0,89.0,5.91,8.574029812,6.6293632534374485,8.682199026000504,0.13102826240640408
Bhutan,2000,62.0,307.79999999999995,98.0,92.0,98.0,6.91,93.35872844,6.037870919922137,13.259368479707303,0.15700374880966478
Bosnia and Herzegovina,2014,77.2,89.0,86.0,86.0,89.0,9.57,732.8662491,8.006700845440367,10.481869015752949,1.6154199841116479
Bosnia and Herzegovina,2013,77.0,9.0,87.0,89.0,91.0,9.46,75.61062911,0.0,12.80765263256463,1.6331544390514163
Bosnia and Herzegovina,2012,76.8,92.0,87.0,92.0,92.0,9.94,693.8226461,3.1354942159291497,10.50460167764911,1.724550719534605
Bosnia and Herzegovina,2011,76.9,92.0,89.0,88.0,88.0,9.71,7.959131146,2.3978952727983707,15.12082965171197,1.7298840655099674
Bosnia and Herzegovina,2010,76.4,94.0,79.0,89.0,89.0,9.58,630.3883564,3.828641396489095,12.827414968960502,1.7119945007591924
Bosnia and Herzegovina,2009,76.1,97.0,79.0,79.0,17.75,9.64,645.021302,3.1354942159291497,15.136349177428434,1.749199854809259
Bosnia and Herzegovina,2008,76.0,98.0,92.0,91.0,88.0,8.58,66.04635027,2.1972245773362196,15.140886504114748,1.81319474994812
Bosnia and Herzegovina,2007,75.4,16.0,95.0,95.0,94.0,8.37,8.240355867,5.117993812416755,8.236155661683124,1.8180767775454285
Bosnia and Herzegovina,2006,75.7,1.8,91.0,87.0,17.75,8.28,38.25414065,2.8903717578961645,15.14509408153759,1.7613002617433464
Bosnia and Herzegovina,2005,75.0,12.0,95.0,93.0,93.0,8.5,45.71354264,3.1780538303479458,12.843056799041268,1.715598108262491
Bosnia and Herzegovina,2004,75.5,98.9,87.0,84.0,36.0,9.4,3.479918859,3.367295829986474,15.145575250297568,1.6582280766035324
Botswana,2014,65.1,268.0,96.0,95.0,95.0,5.41,662.802194,0.6931471805599453,14.589580366646492,0.009950330853168083
Botswana,2013,64.2,286.0,96.0,95.0,95.0,5.84,1.117811275,0.6931471805599453,12.268380555703859,0.009950330853168083
Botswana,2012,63.4,40.1,96.0,95.0,95.0,6.27,12.83447357,2.0794415416798357,12.575274795345731,0.009950330853168083
Botswana,2011,62.2,325.0,96.0,95.0,95.0,5.25,668.9562854,2.1972245773362196,12.434561883169135,1.9110228900548727
